"id","favouritecount"
2698139,"0"
2698093,"0"
2698007,"0"
2697963,"0"
2697938,"0"
2697936,"0"
2697845,"0"
2697825,"0"
2697732,"0"
2697716,"0"
2697594,"0"
2697536,"0"
2697492,"0"
2697491,"0"
2697464,"0"
2697341,"0"
2697334,"0"
2697288,"0"
2697218,"0"
2697153,"0"
2697126,"0"
2697005,"0"
2696974,"0"
2696672,"0"
2696669,"0"
2696650,"0"
2696607,"0"
2696535,"0"
2696520,"0"
2696463,"0"
2696369,"0"
2696296,"0"
2696238,"0"
2696235,"0"
2696217,"0"
2696170,"0"
2696160,"0"
2696077,"0"
2696070,"0"
2696029,"0"
2696021,"0"
2695964,"0"
2695913,"0"
2695219,"0"
2695207,"0"
2683453,"0"
2683452,"0"
2683451,"0"
2683450,"0"
2683449,"0"
2683448,"0"
2683446,"0"
2683444,"0"
2683440,"0"
2683435,"0"
2683432,"0"
2683431,"0"
2683425,"0"
2683424,"0"
2683422,"0"
2683421,"0"
2683420,"0"
2683419,"0"
2683418,"0"
2683415,"0"
2683408,"0"
2683406,"0"
2683405,"0"
2683404,"0"
2683402,"0"
2683401,"0"
2683399,"0"
2683397,"0"
2683396,"0"
2683394,"0"
2683393,"0"
2683392,"0"
2683391,"0"
2683389,"0"
2683388,"0"
2683386,"0"
2683384,"0"
2683377,"0"
2683374,"0"
2683371,"0"
2683370,"0"
2683366,"0"
2683360,"0"
2683343,"0"
2683342,"0"
2652732,"0"
2652725,"0"
2651253,"0"
2651251,"0"
2651249,"0"
2651248,"0"
2651247,"0"
2651246,"0"
2651232,"0"
2651224,"0"
2651210,"0"
2651188,"0"
2651178,"0"
2648579,"0"
2622673,"0"
2574950,"0"
2518922,"0"
2517212,"0"
2511861,"0"
2511356,"0"
2497391,"0"
2494148,"0"
2489057,"0"
2488871,"0"
2484630,"0"
2484416,"0"
2482157,"0"
2481054,"0"
2480477,"0"
2476919,"0"
2471559,"0"
2470843,"0"
2470058,"0"
2468320,"0"
2466710,"0"
2464966,"0"
2464247,"0"
2464222,"0"
2463941,"0"
2463842,"0"
2434931,"0"
2434072,"0"
2434068,"0"
2432559,"0"
2432540,"0"
2432172,"0"
2424979,"0"
2411657,"0"
2405895,"0"
2385136,"0"
2378144,"0"
2378043,"0"
2373303,"0"
2371048,"0"
2368306,"0"
2367630,"0"
2365863,"0"
2363857,"0"
2356716,"0"
2351591,"0"
2332568,"0"
2322354,"0"
2312772,"0"
2304721,"0"
2304609,"0"
2304605,"0"
2304544,"0"
2302722,"0"
2301778,"0"
2296899,"0"
2295988,"0"
2292986,"0"
2250102,"0"
2232782,"0"
2232711,"0"
2227521,"0"
2221403,"0"
2221037,"0"
2219268,"0"
2218395,"0"
2217933,"0"
2214893,"0"
2214457,"0"
2213178,"0"
2213103,"0"
2210925,"0"
2210646,"0"
2200312,"0"
2192619,"0"
2191629,"0"
2184881,"0"
2183953,"0"
2183708,"0"
2182966,"0"
2182634,"0"
2175040,"0"
2169894,"0"
2168789,"0"
2168270,"0"
2151664,"0"
2147879,"0"
2135883,"0"
2132174,"0"
2127363,"0"
2123677,"0"
2122886,"0"
2116136,"0"
2114532,"0"
2111650,"0"
2111283,"0"
2111268,"0"
2102895,"0"
2102145,"0"
2102054,"0"
2102050,"0"
2101755,"0"
2101752,"0"
2095793,"0"
2095757,"0"
2094698,"0"
2094273,"0"
2094247,"0"
2092860,"0"
2081154,"0"
2075552,"0"
2073277,"0"
2064438,"0"
2061023,"0"
2049543,"0"
2047458,"0"
2044964,"0"
2043395,"0"
2035084,"0"
2034884,"0"
2034251,"0"
2034220,"0"
2033981,"0"
2032015,"0"
2031580,"0"
2024821,"0"
2024533,"0"
2024512,"0"
2021519,"0"
2019984,"0"
2019840,"0"
2019304,"0"
2018852,"0"
2016506,"0"
2016499,"0"
2015495,"0"
2014972,"0"
2014208,"0"
2012297,"0"
2012293,"0"
2005679,"0"
1997481,"0"
1993007,"0"
1992604,"0"
1981674,"0"
1980695,"0"
1975063,"0"
1969135,"0"
1962076,"0"
1960700,"0"
1957414,"0"
1956124,"0"
1955401,"0"
1953870,"0"
1953037,"0"
1952182,"0"
1951882,"0"
1951851,"0"
1951231,"0"
1949255,"0"
1949129,"0"
1948502,"0"
1947239,"0"
1946771,"0"
1946440,"0"
1944541,"0"
1938248,"0"
1931841,"0"
1931182,"0"
1925737,"0"
1921938,"0"
1918246,"0"
1916927,"0"
1915363,"0"
1910805,"0"
1910044,"0"
1909718,"0"
1909447,"0"
1909393,"0"
1909201,"0"
1909089,"0"
1907923,"0"
1906606,"0"
1906592,"0"
1900033,"0"
1893190,"0"
1892390,"0"
1863489,"0"
1855909,"0"
1853137,"0"
1845663,"0"
1845647,"0"
1845278,"0"
1845268,"0"
1845262,"0"
1843634,"0"
1843049,"0"
1829882,"0"
1820742,"0"
1819599,"0"
1801836,"0"
1788307,"0"
1784979,"0"
1784974,"0"
1784970,"0"
1784433,"0"
1783731,"0"
1783723,"0"
1783244,"0"
1782074,"0"
1781834,"0"
1775495,"0"
1772303,"0"
1771016,"0"
1769619,"0"
1765880,"0"
1763082,"0"
1754430,"0"
1754329,"0"
1752268,"0"
1749576,"0"
1746978,"0"
1741663,"0"
1741090,"0"
1740192,"0"
1737788,"0"
1732958,"0"
1732693,"0"
1729981,"0"
1728452,"0"
1722102,"0"
1721770,"0"
1719412,"0"
1719408,"0"
1718807,"0"
1717851,"0"
1716717,"0"
1716382,"0"
1716368,"0"
